Id,StreetName,Town,FacilityType,FacilityName,Program,ProgramSpecificId,Active
5933,675 SIMONDS RD,WILLIAMSTOWN,PUBLIC WATER SUPPLY SYSTEM,WILLIAMSTOWN WATER DEPT,WATER SUPPLY/DRINKING WATER,1341000,True
5935,1611 COLD SPRING RD,WILLIAMSTOWN,PUBLIC WATER SUPPLY SYSTEM,SWEET WOOD RETIREMENT COMMUNITY,WATER SUPPLY/DRINKING WATER,1341003,True
5936,19 SLOAN RD,WILLIAMSTOWN,PUBLIC WATER SUPPLY SYSTEM,WAUBEEKA SPRINGS,WATER SUPPLY/DRINKING WATER,1341004,True
5937,319 RIDGE RD,WORTHINGTON,PUBLIC WATER SUPPLY SYSTEM,WORTHINGTON FIRE DISTRICT,WATER SUPPLY/DRINKING WATER,1349000,True
5938,SHORE DR,HINSDALE,PUBLIC WATER SUPPLY SYSTEM,ASHMERE WATER SERVICE,WATER SUPPLY/DRINKING WATER,1132008,True
5939,693 MASSACHUSETTS AVE/RTE 111,ACTON,PUBLIC WATER SUPPLY SYSTEM,ACTON WATER SUPPLY DISTRICT,WATER SUPPLY/DRINKING WATER,2002000,True
5945,205 AND 209 GREAT RD,ACTON,PUBLIC WATER SUPPLY SYSTEM,PINE HILL CONDOMINIUM,WATER SUPPLY/DRINKING WATER,2002010,True
5948,17 CENTRAL ST,ASHBURNHAM,PUBLIC WATER SUPPLY SYSTEM,ASHBURNHAM WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2011000,True
5949,584 MAIN ST RM 24,ATHOL,PUBLIC WATER SUPPLY SYSTEM,ATHOL DPW  WATER DIVISION,WATER SUPPLY/DRINKING WATER,1015000,True
5950,75 CHURCH ST,AUBURN,PUBLIC WATER SUPPLY SYSTEM,AUBURN WATER DISTRICT,WATER SUPPLY/DRINKING WATER,2017000,True
5951,55 JEROME AVE,AUBURN,PUBLIC WATER SUPPLY SYSTEM,ELM HILL WATER DISTRICT,WATER SUPPLY/DRINKING WATER,2017001,True
5956,25 BROOK STREET,AYER,PUBLIC WATER SUPPLY SYSTEM,AYER DPW  WATER DIVISION,WATER SUPPLY/DRINKING WATER,2019000,True
5957,33 ANDREWS PKWY,AYER,PUBLIC WATER SUPPLY SYSTEM,DEVENS  MASSDEVELOPMENT,WATER SUPPLY/DRINKING WATER,2019001,True
5958,441 WHEELWRIGHT RD,BARRE,PUBLIC WATER SUPPLY SYSTEM,BARRE WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2021000,True
5959,30 DANA RD,BARRE,PUBLIC WATER SUPPLY SYSTEM,BARRE MHP/WATERWHEEL VILLAGE,WATER SUPPLY/DRINKING WATER,2021001,True
5960,215 DEPOT ST,BELLINGHAM,PUBLIC WATER SUPPLY SYSTEM,BELLINGHAM DPW WATER  SEWER DIVISION,WATER SUPPLY/DRINKING WATER,2025000,True
5961,135 PLEASANT ST,BERLIN,PUBLIC WATER SUPPLY SYSTEM,NORTHBROOK VILLAGE I / BERLIN RET.,WATER SUPPLY/DRINKING WATER,2028007,True
5962,53 ELM ST,BLACKSTONE,PUBLIC WATER SUPPLY SYSTEM,BLACKSTONE WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2032000,True
5963,276 CODMAN HILL RD,BOXBOROUGH,PUBLIC WATER SUPPLY SYSTEM,CODMAN HILL CONDOMINIUM,WATER SUPPLY/DRINKING WATER,2037001,True
5964,90 SWANSON RD,BOXBOROUGH,PUBLIC WATER SUPPLY SYSTEM,HARVARD RIDGE CONDOMINIUM,WATER SUPPLY/DRINKING WATER,2037002,True
5965,688 TO 700 MASSACHUSETTS AVE,BOXBOROUGH,PUBLIC WATER SUPPLY SYSTEM,CENTRE VILLAGE APARTMENTS,WATER SUPPLY/DRINKING WATER,2037006,True
5966,52 SWANSON RD,BOXBOROUGH,PUBLIC WATER SUPPLY SYSTEM,BROOK VILLAGE CONDOMINIUM,WATER SUPPLY/DRINKING WATER,2037007,True
5967,773 MASSACHUSETTS AVE.,BOXBOROUGH,PUBLIC WATER SUPPLY SYSTEM,CARRIAGE HOUSE CONDOMINIUM,WATER SUPPLY/DRINKING WATER,2037009,True
5968,RUSSET LANE,BOXBOROUGH,PUBLIC WATER SUPPLY SYSTEM,APPLEWOOD COMMUNITY CORPORATION,WATER SUPPLY/DRINKING WATER,2037013,True
5969,73 LIBERTY SQUARE RD,BOXBOROUGH,PUBLIC WATER SUPPLY SYSTEM,LIBERTY HOUSE CONDOMINIUM,WATER SUPPLY/DRINKING WATER,2037014,True
5970,16 PAUL X. TIVNAN DRIVE,BOYLSTON,PUBLIC WATER SUPPLY SYSTEM,BOYLSTON WATER DISTRICT,WATER SUPPLY/DRINKING WATER,2039000,True
5972,6 CENTRAL ST,BROOKFIELD,PUBLIC WATER SUPPLY SYSTEM,BROOKFIELD WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2045000,True
5973,LAKE RD,BROOKFIELD,PUBLIC WATER SUPPLY SYSTEM,NANATOMQUA MOBILE HOME PARK,WATER SUPPLY/DRINKING WATER,2045001,True
5974,13 BUCKBOARD PASS,BROOKFIELD,PUBLIC WATER SUPPLY SYSTEM,"WAGON WHEEL COMMUNITY, INC.",WATER SUPPLY/DRINKING WATER,2045004,True
5977,12 TOWN FARM RD,CHARLTON,PUBLIC WATER SUPPLY SYSTEM,CHARLTON MANOR REST HOME,WATER SUPPLY/DRINKING WATER,2054005,True
5981,55 WEST BOYLSTON ST,CLINTON,PUBLIC WATER SUPPLY SYSTEM,CLINTON WATER DEPT,WATER SUPPLY/DRINKING WATER,2064000,True
5982,WEST ST,DOUGLAS,PUBLIC WATER SUPPLY SYSTEM,DOUGLAS WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2077000,True
5983,71 WEST MAIN ST,DUDLEY,PUBLIC WATER SUPPLY SYSTEM,DUDLEY WATER DEPARTMENT,WATER SUPPLY/DRINKING WATER,2080000,True
