Id,Town,Program,FacilityId,FacilityName,InspectionType,InspectionDate
1482217,SOMERSET,REGULATED ACTIVITY(S),319108,FORMER SOMERSET POWER LLC,Announced Single-Media Inspection,2001-11-20
1482228,SANDWICH,REGULATED ACTIVITY(S),317974,CANAL GENERATING LLC,Announced Single-Media Inspection,2002-05-29
1482238,TAUNTON,REGULATED ACTIVITY(S),130277,TAUNTON MUNICIPAL LIGHTING PLANT,Announced Single-Media Inspection,2002-07-24
1482251,FALL RIVER,REGULATED ACTIVITY(S),335628,MAIN STREET TEXTILES LP,Announced Single-Media Inspection,2002-07-16
1482343,BOURNE,WATER SUPPLY/DRINKING WATER,6201,SOUTH SAGAMORE WATER DISTRICT,Site Visit But Not Full Inspection,2000-01-01
1482345,MIDDLEBOROUGH,WATER SUPPLY/DRINKING WATER,6246,MIDDLEBOROUGH WATER SUPPLY,Site Visit But Not Full Inspection,2000-01-01
1482346,PEMBROKE,WATER SUPPLY/DRINKING WATER,6259,PEMBROKE WATER DIVISION DPW,Site Visit But Not Full Inspection,2000-01-01
1482347,REHOBOTH,WATER SUPPLY/DRINKING WATER,6727,HILLSIDE COUNTRY CLUB,Site Visit But Not Full Inspection,2000-01-01
1482348,PLYMPTON,WATER SUPPLY/DRINKING WATER,6708,LITECONTROL CORPORATION,Site Visit But Not Full Inspection,2000-01-01
1482349,SEEKONK,WATER SUPPLY/DRINKING WATER,6269,SEEKONK WATER DISTRICT,Site Visit But Not Full Inspection,2000-01-01
1482350,PLAINVILLE,WATER SUPPLY/DRINKING WATER,6260,PLAINVILLE WATER DEPARTMENT,Site Visit But Not Full Inspection,2000-01-01
1482351,CARVER,WATER SUPPLY/DRINKING WATER,6208,CRANBERRY VILLAGE RESIDENTS ASSOCIATION,Site Visit But Not Full Inspection,2000-01-01
1482352,WEST TISBURY,WATER SUPPLY/DRINKING WATER,313357,"POLLY HILL ARBORETUM, INC.",Site Visit But Not Full Inspection,2000-02-01
1482353,TAUNTON,WATER SUPPLY/DRINKING WATER,6274,DEVER DEVELOPMENTAL CENTER,Site Visit But Not Full Inspection,2000-02-01
1482354,MIDDLEBOROUGH,WATER SUPPLY/DRINKING WATER,6247,FAIRHAVENS INC.,Site Visit But Not Full Inspection,2000-02-01
1482355,TAUNTON,WATER SUPPLY/DRINKING WATER,6273,TAUNTON WATER DIVISION,Site Visit But Not Full Inspection,2000-02-01
1482356,ACUSHNET,WATER SUPPLY/DRINKING WATER,6189,ACUSHNET WATER DEPARTMENT,Site Visit But Not Full Inspection,2000-02-01
1482357,CHILMARK,WATER SUPPLY/DRINKING WATER,187899,MENEMSHA SCHOOL,Site Visit But Not Full Inspection,2000-03-01
1482358,DIGHTON,WATER SUPPLY/DRINKING WATER,6615,DIGHTON REHOBOTH REG. HIGH SCHOOL,Site Visit But Not Full Inspection,2000-03-01
1482359,EASTHAM,WATER SUPPLY/DRINKING WATER,187979,CAPEABILITIES,Site Visit But Not Full Inspection,2000-03-01
1482360,ROCHESTER,WATER SUPPLY/DRINKING WATER,6739,ROCHESTER MEMORIAL SCHOOL,Site Visit But Not Full Inspection,2000-03-01
1482361,EASTHAM,WATER SUPPLY/DRINKING WATER,6623,NAUSET REGIONAL HIGH SCHOOL,Site Visit But Not Full Inspection,2000-03-01
1482362,REHOBOTH,WATER SUPPLY/DRINKING WATER,6713,DOROTHY L BECKWITH MIDDLE SCHOOL,Site Visit But Not Full Inspection,2000-03-01
1482363,NEWTON,REGULATED ACTIVITY(S),295315,AUBURN CLEANERS,ReInspection,2002-12-12
1482367,WEST TISBURY,WATER SUPPLY/DRINKING WATER,6762,7A FOODS,Site Visit But Not Full Inspection,2000-04-01
1482368,SWANSEA,WATER SUPPLY/DRINKING WATER,6272,SWANSEA WATER DISTRICT,Site Visit But Not Full Inspection,2000-04-01
1482369,DUXBURY,WATER SUPPLY/DRINKING WATER,6215,DUXBURY WATER DEPARTMENT,Site Visit But Not Full Inspection,2000-04-01
1482370,LAKEVILLE,WATER SUPPLY/DRINKING WATER,6663,CLARK SHORES WATER CORPORATION,Site Visit But Not Full Inspection,2000-04-01
1482371,WELLFLEET,WATER SUPPLY/DRINKING WATER,376349,WELLFLEET APARTMENTS,Site Visit But Not Full Inspection,2000-04-01
1482374,WELLFLEET,WATER SUPPLY/DRINKING WATER,376349,WELLFLEET APARTMENTS,Site Visit But Not Full Inspection,2000-04-01
1482376,WEST TISBURY,WATER SUPPLY/DRINKING WATER,6762,7A FOODS,Site Visit But Not Full Inspection,2000-05-01
1482377,BOURNE,WATER SUPPLY/DRINKING WATER,6198,BOURNE WATER DISTRICT,Site Visit But Not Full Inspection,2000-05-01
1482378,LAKEVILLE,WATER SUPPLY/DRINKING WATER,6663,CLARK SHORES WATER CORPORATION,Site Visit But Not Full Inspection,2000-05-01
1482380,WELLFLEET,WATER SUPPLY/DRINKING WATER,316953,ON THE CREEK CAFE,Site Visit But Not Full Inspection,2000-05-01
1482382,WELLFLEET,WATER SUPPLY/DRINKING WATER,376349,WELLFLEET APARTMENTS,Site Visit But Not Full Inspection,2000-05-01
